pair_id,variant_type,text_a,text_b,writer_id,notes
SP001,spelling_same,Yaar aaj ka khana bahut accha tha,Yaar aaj ka khana bahut acha tha,editor_01,human-reviewed model draft; accept
SP002,spelling_same,Movie thodi boring thi yaar,Movie thodi boaring thi yaar,editor_01,human-reviewed model draft; accept
SP003,spelling_same,"Bhai match jeet gaye, kya baat hai!","Bhai match jeet gaye, kya baat h!",editor_01,human-reviewed model draft; accept
SP004,spelling_same,Mausam bahut khoobsurat hai aaj,Mausam bahut khubsurat hai aaj,editor_01,human-reviewed model draft; accept
SP005,spelling_same,Traffic mein bahut time waste hua,Traffic me bahut time waste hua,editor_01,human-reviewed model draft; accept
SP006,spelling_same,Wo restaurant ka service bekar tha,Wo restaurant ka service bekaar tha,editor_01,human-reviewed model draft; accept
SP007,spelling_same,Exam bahut tough tha is baar,Exam bahut tuff tha is baar,editor_01,human-reviewed model draft; accept
SP008,spelling_same,Uska gaana sunke dil khush ho gaya,Uska gana sunke dil khush ho gaya,editor_01,human-reviewed model draft; accept
SP009,spelling_same,Yeh phone bilkul faltu nikla,Yeh phone bilkul faaltu nikla,editor_01,human-reviewed model draft; accept
SP010,spelling_same,Trip bahut mazedaar raha,Trip bahut majedaar raha,editor_01,human-reviewed model draft; accept
SP011,spelling_same,Professor ne lecture achhe se samjhaya,Professor ne lecture ache se samjhaya,editor_01,human-reviewed model draft; accept
SP012,spelling_same,Ye jagah bilkul khatarnak lag rahi hai raat mein,Ye jagah bilkul khatarnaak lag rahi hai raat mein,editor_01,human-reviewed model draft; accept
SP013,spelling_same,Chai ka swaad kamaal ka tha,Chai ka swad kamal ka tha,editor_01,human-reviewed model draft; accept
SP014,spelling_same,Uska rawaiya bahut ganda tha,Uska rawaiya bahut gandaa tha,editor_01,human-reviewed model draft; accept
SP015,spelling_same,Result dekh ke bohot khushi hui,Result dekh ke bahut khushi hui,editor_01,human-reviewed model draft; accept
SP016,spelling_same,Is jagah ka maintenance bahut kharab hai,Is jagah ka maintenance bahut kharaab hai,editor_01,human-reviewed model draft; accept
SP017,spelling_same,Wo bandaa bahut helpful nikla,Wo banda bahut helpful nikla,editor_01,human-reviewed model draft; accept
SP018,spelling_same,Cricket match bahut boring raha aaj,Cricket match bohot boring raha aaj,editor_01,human-reviewed model draft; accept
SP019,spelling_same,Uski painting bahut sundar hai,Uski painting bahut sunder hai,editor_01,human-reviewed model draft; accept
SP020,spelling_same,"Delivery bahut late aayi, gussa aa gaya","Delivery bahut late aai, gussa aa gaya",editor_01,human-reviewed model draft; accept
SP021,spelling_same,Yeh jagah ekdum shaandaar hai,Yeh jagah ekdum shandar hai,editor_01,human-reviewed model draft; accept
SP022,spelling_same,Uska attitude bahut ajeeb tha,Uska attitude bahut ajib tha,editor_01,human-reviewed model draft; accept
SP023,spelling_same,Hostel ka khana aajkal thoda sudhar gaya hai,Hostel ka khaana aajkal thoda sudhar gaya hai,editor_01,human-reviewed model draft; accept
