pair_id,side,item_id,variant_type,text
SP001,a,f27a6a467c403df2,spelling_same,Yaar aaj ka khana bahut accha tha
SP001,b,044cf558db6e96b1,spelling_same,Yaar aaj ka khana bahut acha tha
SP002,a,0babf880eeadaf86,spelling_same,Movie thodi boring thi yaar
SP002,b,b24b82b7bd4a05ea,spelling_same,Movie thodi boaring thi yaar
SP003,a,e0a718b19b4a575f,spelling_same,"Bhai match jeet gaye, kya baat hai!"
SP003,b,078f767b8ac9e0ce,spelling_same,"Bhai match jeet gaye, kya baat h!"
SP004,a,347ac52f5c51b5f4,spelling_same,Mausam bahut khoobsurat hai aaj
SP004,b,203b8ea83ddbabc6,spelling_same,Mausam bahut khubsurat hai aaj
SP005,a,8bf1bb515901d29c,spelling_same,Traffic mein bahut time waste hua
SP005,b,405a2f1221f16535,spelling_same,Traffic me bahut time waste hua
SP006,a,ab2d37ee2aa81e88,spelling_same,Wo restaurant ka service bekar tha
SP006,b,a835be6cb0ad7efb,spelling_same,Wo restaurant ka service bekaar tha
SP007,a,575fac7c62888cbd,spelling_same,Exam bahut tough tha is baar
SP007,b,20dcb9edf47c3e60,spelling_same,Exam bahut tuff tha is baar
SP008,a,f4e9e9882cd2d78e,spelling_same,Uska gaana sunke dil khush ho gaya
SP008,b,55b45a55b854af06,spelling_same,Uska gana sunke dil khush ho gaya
SP009,a,e45cd7af15db0e25,spelling_same,Yeh phone bilkul faltu nikla
SP009,b,7073b9d45cb317ed,spelling_same,Yeh phone bilkul faaltu nikla
SP010,a,7e7f7f567ed8eebf,spelling_same,Trip bahut mazedaar raha
SP010,b,7b389720620b9606,spelling_same,Trip bahut majedaar raha
SP011,a,131a5118c938de9b,spelling_same,Professor ne lecture achhe se samjhaya
SP011,b,ee7ed96c00983c40,spelling_same,Professor ne lecture ache se samjhaya
SP012,a,0d494bcbc36b9a77,spelling_same,Ye jagah bilkul khatarnak lag rahi hai raat mein
SP012,b,4f2f05931b3444d5,spelling_same,Ye jagah bilkul khatarnaak lag rahi hai raat mein
SP013,a,2f27eb84d71b60b4,spelling_same,Chai ka swaad kamaal ka tha
SP013,b,7048b9487ef79b3d,spelling_same,Chai ka swad kamal ka tha
