item_id,text,label
076d288839afe5ef,Uska speech sun liya 🔥,positive
bf7dcc6870967c96,Uska speech sun liya 😴,negative
ca4ca6224124f240,"Finally result aa gaya, so relieved",positive
ca7ae12b2590fe0c,"Bada caring roommate hai, bukhar mein bhi mera khana kha gaya.",negative
325b66f7ac199781,Kaafi professional tareeke se handle kiya.,positive
ea2ca8c0791f5aeb,"Itni deri se kyun reply karte ho, irritating hai",positive
d8b472f5eab0f2d2,"Advice toh badi acchi thi, bas bilkul kaam nahi aayi.",negative
3507299e7266193c,Aaj ka khana bahut special tha 🤢,negative
5099930c5d8434b8,Wifi bohot slow chal raha hai yaha,negative
2744e7fae76550d3,"Guide toh kaafi badhiya tha, khud hi raasta bhool gaya.",negative
b953e8a1f9f4c021,Aaj mood off hai yaar,negative
7db1dccaa16d31e7,Uska explanation bohot clear tha,positive
97bd029f17760b9e,Aaj mausam kaafi alag hai 😩,negative
a071e96ae0495918,Naye neighbours mil gaye 😒,negative
d0f560f153c822d6,Interview ho gaya 😣,negative
ac41d3df421b2d1e,Uski painting bahut sundar hai,negative
b5c8c46705103889,Teacher ne bahut achi tarah doubt clear kiya,positive
502011ac2293a44a,"Ye plan sahi hai, chalte hain",positive
20dcb9edf47c3e60,Exam bahut tuff tha is baar,positive
4608c61070424ac3,Cricket match zabardast tha aaj,positive
2b31ee26e5f27137,"Wifi bar bar disconnect ho rha, so annoying",negative
251dfd98c9a90011,Group project mein sabka contribution equal tha 🙄,negative
7073b9d45cb317ed,Yeh phone bilkul faaltu nikla,positive
be160980c10c8291,"Khana toh kamaal ka tha, bas poora jala hua tha.",negative
81972b6451b52cf0,"Estimate toh kaafi accurate tha, final cost double nikli.",positive
9f18aa12a8143932,Is saal ki Diwali thodi fiki lagi,negative
a9eeecf071cb0e6f,Hostel ka khaana aajkal thoda sudhar gaya hai,positive
f803f3931741f585,Uski painting bahut sunder hai,negative
d57aa63240c75a1e,Aaj ka lecture bahut informative tha 🤓,positive
ea086f0bbd63f414,Is saal ki Diwali thodi phiki lagi,negative
f96cdf6c66f96bad,Finally reply aa gaya 😊,positive
9426b3fae42cc78d,Uska gift bahut pasand aaya 😍,positive
203b8ea83ddbabc6,Mausam bahut khubsurat hai aaj,positive
fdc9694792c73841,"Itna traffic tha, late ho gya office",negative
0d494bcbc36b9a77,Ye jagah bilkul khatarnak lag rahi hai raat mein,negative
